
devicename,deviceshortname,groupidentifier,sensor1name,sensor2name,serialnumber,devicetype,secondsTime,secondstimestring,dataSamplingSec, temperature,rtcBatVolt,opMode, rssi, snr,flowRate,totalMilliLitres,flowRate2,totalMilliLitres2,tank1PressurePsi,tank2PressurePsi,latitude,longitude,altitude,solarVoltage,capacitorVoltage,outdoortemperature,outdoorhumidity,lux, sleeptime,minimumEfficiencyForLed,minimumEfficiencyForWifi
Scepti,SCE, , NoSensor,Temperatur(⸮⸮zg#⸮, 28FFB27A67232C0, daffodilTF,1961384289,2032-02-26 15:58:09,10, 22, 2.71, 0, 0.00,0.00,0.00,0.00,0.00,0.00, 0.00,0.00,-37.13, 144.47, 0.00,0.00, 3.44,20.93,45.72,-6.90, -1800,40, 50
Scepti,SCE, , NoSensor,Temperatur(⸮⸮zg#⸮, 28FFB27A67232C0, daffodilTF,1961384289,2032-02-26 15:58:09,10, 22, 2.71, 0, 0.00,0.00,0.00,0.00,0.00,0.00, 0.00,0.00,-37.13, 144.47, 0.00,0.00, 3.46,20.98,45.71,-6.90, -1690,40, 50
Scepti,SCE, , NoSensor,Temperatur(⸮⸮zg#⸮, 28FFB27A67232C0, daffodilTF,1961384289,2032-02-26 15:58:09,10, 23, 2.71, 0, 0.00,0.00,0.00,0.00,0.00,0.00, 0.00,0.00,-37.13, 144.47, 0.00,0.00, 3.48,20.99,45.67,-6.90, -1594,40, 50
Scepti,SCE, , NoSensor,Temperatur(⸮⸮zg#⸮, 28FFB27A67232C0, daffodilTF,1961384289,2032-02-26 15:58:09,10, 23, 2.71, 0, 0.00,0.00,0.00,0.00,0.00,0.00, 0.00,0.00,-37.13, 144.47, 0.00,0.00, 3.45,21.02,45.84,-6.90, -1800,40, 50
Scepti,SCE, , NoSensor,Temperatur(⸮⸮zg#⸮, 28FFB27A67232C0, daffodilTF,1961384289,2032-02-26 15:58:09,10, 23, 2.71, 0, 0.00,0.00,0.00,0.00,0.00,0.00, 0.00,0.00,-37.13, 144.47, 0.00,0.00, 3.42,21.02,45.81,-6.90, -1924,40, 50
Scepti,SCE, , NoSensor,Temperatur(⸮⸮zg#⸮, 28FFB27A67232C0, daffodilTF,1961384289,2032-02-26 15:58:09,10, 23, 2.71, 0, 0.00,0.00,0.00,0.00,0.00,0.00, 0.00,0.00,-37.13, 144.47, 0.00,0.00, 3.40,21.04,45.79,-6.90, -1992,40, 50
Scepti,SCE, , NoSensor,Temperatur(⸮⸮zg#⸮, 28FFB27A67232C0, daffodilTF,1961384289,2032-02-26 15:58:09,10, 23, 2.71, 0, 0.00,0.00,0.00,0.00,0.00,0.00, 0.00,0.00,-37.13, 144.47, 0.00,0.00, 3.38,21.06,45.74,-6.90, -2066,40, 50
Scepti,SCE, , NoSensor,Temperatur(⸮⸮zg#⸮, 28FFB27A67232C0, daffodilTF,1961384289,2032-02-26 15:58:09,10, 23, 2.71, 0, 0.00,0.00,0.00,0.00,0.00,0.00, 0.00,0.00,-37.13, 144.47, 0.00,0.00, 3.38,21.08,45.72,-6.90, -2146,40, 50
Scepti,SCE, , NoSensor,Temperatur(⸮⸮zg#⸮, 28FFB27A67232C0, daffodilTF,1961384289,2032-02-26 15:58:09,10, 23, 2.71, 0, 0.00,0.00,0.00,0.00,0.00,0.00, 0.00,0.00,-37.13, 144.47, 0.00,0.00, 3.37,21.08,45.67,-6.90, -2146,40, 50
Scepti,SCE, , NoSensor,Temperatur(⸮⸮zg#⸮, 28FFB27A67232C0, daffodilTF,1961384289,2032-02-26 15:58:09,10, 23, 2.71, 0, 0.00,0.00,0.00,0.00,0.00,0.00, 0.00,0.00,-37.13, 144.47, 0.00,0.00, 3.35,21.08,45.64,-6.90, -2325,40, 50
