Timestamp,Battery Voltage (V),Battery Current (mA)
2026-06-24 11:29:04,3.3,12.4
2026-06-24 11:29:21,3.29,13.4
2026-06-24 11:37:33,3.3,27.4
2026-06-24 11:37:50,3.31,16.8
2026-06-24 11:42:52,3.3,22.4
2026-06-24 11:44:04,3.3,114
2026-06-24 11:45:47,3.3,57.4
2026-06-24 11:46:05,3.3,54.6
2026-06-24 11:47:34,3.3,81.8
2026-06-24 11:47:53,3.27,51.8
2026-06-24 11:49:23,3.28,54.2
2026-06-24 11:49:41,3.3,91.2
2026-06-24 11:51:25,3.31,16
2026-06-24 11:51:42,3.31,90.6
2026-06-24 11:52:54,3.29,70.8
2026-06-24 11:53:10,3.29,69.6
2026-06-24 11:54:38,3.29,75
2026-06-24 11:54:55,3.23,59
2026-06-24 11:56:40,3.32,60.8
2026-06-24 11:58:14,3.3,-35
2026-06-24 11:58:32,3.32,77.2
2026-06-24 11:59:45,3.31,-0.2
2026-06-24 12:01:32,3.31,-43.6
2026-06-24 12:01:50,3.3,76.2
2026-06-24 12:03:18,3.3,62.6
2026-06-24 12:07:05,3.31,-141.8
2026-06-24 12:08:35,3.31,60.6
2026-06-24 12:08:54,3.3,27.4
2026-06-24 12:10:02,3.3,84.8
2026-06-24 12:10:39,3.29,70.4
2026-06-24 12:11:53,3.29,99.2
2026-06-24 12:12:12,3.28,97
2026-06-24 12:13:40,3.29,99.2
2026-06-24 12:15:48,3.28,75.6
2026-06-24 12:17:31,3.29,79.6
2026-06-24 12:19:19,3.29,89.6
2026-06-24 12:20:51,3.29,78.6
2026-06-24 12:21:08,3.28,85.4
2026-06-24 12:22:18,3.3,24.6
2026-06-24 12:22:35,3.28,79.8
2026-06-24 12:24:06,3.28,0
2026-06-24 12:26:06,3.29,69.4
2026-06-24 12:27:34,3.28,99
2026-06-24 12:27:51,3.28,68.6
2026-06-24 12:31:08,3.29,27.6
2026-06-24 12:33:14,3.29,21.6
2026-06-24 12:34:26,3.28,87.6
2026-06-24 12:36:33,3.3,7
2026-06-24 14:49:45,3.29,67.2
2026-06-24 15:03:27,3.3,22.6
2026-06-24 15:09:53,3.29,22.8
2026-06-24 15:36:07,3.3,37.2
2026-06-24 16:35:30,3.26,113.2
2026-06-24 17:53:18,3.25,110.8
2026-06-24 18:00:43,3.24,113.8
2026-06-24 19:51:59,3.23,116.8
2026-06-24 20:17:56,3.22,118
2026-06-24 22:44:30,3.22,113.4
2026-06-24 22:55:34,3.23,114.6
2026-06-24 23:30:05,3.22,115.8
2026-06-25 00:32:53,3.21,114.8
2026-06-25 03:53:14,3.22,114.8
2026-06-25 07:13:18,3.23,94.6
2026-06-25 07:48:37,3.22,83
2026-06-25 08:18:53,3.25,44.2
2026-06-25 08:30:30,3.34,-0.8
2026-06-25 08:32:02,3.32,-68.2
2026-06-25 08:35:06,3.33,-0.8
2026-06-25 09:04:33,3.32,-142.6
2026-06-25 09:04:50,3.32,-0.4
2026-06-25 09:06:18,3.34,28.8
2026-06-25 09:10:07,3.32,-152.2
2026-06-25 09:11:19,3.3,-0.4
2026-06-25 09:11:36,3.32,-1
2026-06-25 09:13:05,3.31,0
2026-06-25 09:13:22,3.32,-0.8
2026-06-25 09:14:48,3.31,-0.8
2026-06-25 09:15:04,3.32,-0.6
2026-06-25 09:16:28,3.35,40.8
2026-06-25 09:16:45,3.32,-131.8
2026-06-25 09:19:46,3.32,3.8
2026-06-25 09:20:04,3.3,27
2026-06-25 09:21:32,3.31,11.2
2026-06-25 09:21:50,3.33,118.8
2026-06-25 09:23:18,3.32,-112
2026-06-25 09:30:11,3.3,13.2
2026-06-25 09:30:27,3.3,28.6
2026-06-25 09:33:24,3.31,28.4
2026-06-25 09:33:41,3.31,28.8
2026-06-25 09:35:28,3.31,28
2026-06-25 09:52:27,3.33,66
2026-06-25 09:52:42,3.29,157.8
2026-06-25 09:58:32,3.3,48
2026-06-25 10:19:12,3.28,23.8
2026-06-25 10:19:31,3.27,73.6
2026-06-25 10:22:42,3.28,-17.2
2026-06-25 10:23:00,3.3,8.4
2026-06-25 10:24:27,3.28,22.4
2026-06-25 10:24:45,3.28,30.4
2026-06-25 10:25:02,3.28,16.2
2026-06-25 10:25:18,3.29,34.8
2026-06-25 10:25:35,3.28,73.4
2026-06-25 10:25:52,3.28,16
2026-06-25 10:26:10,3.28,35.8
2026-06-25 10:30:00,3.29,-12.8
2026-06-25 10:30:16,3.29,34.4
2026-06-25 10:31:45,3.29,-0.4
2026-06-25 10:32:02,3.29,35.4
2026-06-25 10:35:02,3.25,156.8
2026-06-25 10:35:19,3.25,155.8
2026-06-25 10:36:45,3.25,157.4
2026-06-25 10:38:54,3.27,32.6
2026-06-25 10:39:12,3.27,51.4
2026-06-25 10:40:40,3.27,29.8
2026-06-25 10:42:26,3.26,30.4
